quotation,cusref,cusname,season,machine,complexity,gauge,qty quo,std_min,cost_min,knit_min,mup_min,tech_min,fin_min,quo_weight,gar_weight,wet_process,wet_process_cost,variable_cost ,yarn_cost,total_cost,sales_price,perc_ros,profit_pce,contrib_pce,contrib_min,profit
210176203,MERINO VEE NECK,Moores Gents,AW21N,Automatic,M,12,"8,512",83,2,50,32,0,5,305,280,Merino Liquid Stretch,35,326,270,349,556,10,55,230,3,Y
210176204,MERINO VEE NECK,Moores Gents,AW21N,Automatic,M,12,420,83,2,50,32,0,5,385,280,Merino Liquid Stretch,35,402,340,429,643,10,66,241,3,Y
210176303,MERINO QUARTER ZIP,Moores Gents,AW21N,Automatic,M,12,"9,257",83,2,50,37,12,5,341,310,Merino Liquid Stretch,35,404,301,431,662,9,58,259,2,Y
210176304,MERINO QUARTER ZIP,Moores Gents,AW21N,Automatic,M,12,560,83,2,50,37,12,5,421,310,Merino Liquid Stretch,35,480,371,511,750,9,69,270,3,Y
210122103,Vee Knitted in +Flatlock,Sacoor Retail Gents,AW21N,Automatic,S,7,"6,404",89,2,45,32,6,5,310,0,Normal Wash Supersoft,17,249,195,275,461,8,37,212,2,Y
210095701,LAMBERT,Cape Union Mart Old Khaki Gents,AW21S,Automatic,S,10,706,83,5,65,27,5,5,525,500,Normal Wash Supersoft,28,222,164,235,511,-47,-239,289,3,N
210097201,EP0935,Rodd & Gunn S Gents,AW21S,Automatic,M,5,"1,501",83,3,76,89,5,5,"1,058",971,Heavy Garment Wash,40,"1,150",978,"1,150","2,035",21,418,885,5,Y
210165711,S212-K1,Betty Barclay Gents,AW21N,Automatic,S,12,"3,699",89,1,72,39,2,5,332,302,Normal Wash Supersoft,17,238,89,238,527,21,113,289,2,Y
210086903,PPELAGA-Vessel to Dhaka,Devred SAS Gents,AW21N,Hand Flat,S,12,"2,600",90,1,76,35,3,5,260,240,Normal Wash Soft,10,146,108,146,287,3,9,140,1,Y
210053404,T20.855,Woolworths (Pty) Ltd Mainstream Ladies,AW21S,Automatic,M,12,"3,600",83,2,68,33,0,5,234,198,Normal Wash Soft,28,105,54,105,237,-34,-80,132,1,N
210032403,AARON KNITTED STRIPES,POLO Gents,AW21S,Automatic,C,12,800,85,5,75,35,2,5,425,435,Normal Wash Soft,28,146,89,201,746,-5,-34,600,5,N
210100302,EP869,Rodd & Gunn S Gents,AW21N,Automatic,M,7,"5,075",83,2,57,42,21,5,428,396,Heavy Garment Wash,40,668,519,668,"1,387",34,465,719,6,Y
200238001,EP906,Rodd & Gunn S Gents,AW21N,Hand Flat,M,5,"9,800",95,2,68,30,5,1,647,588,Normal Wash Soft,28,415,320,415,742,23,169,327,3,Y
210155901,HS-UCOLRON (CREW),Stockomani - Gents,AW21N,Hand Flat,S,7,"3,001",90,2,49,26,1,6,320,310,Normal Wash Supersoft,17,285,233,285,496,17,83,211,3,Y
210074203,LYANNA UPDATE,Cape Union Mart Old Khaki Ladies,SS21S,Automatic,M,12,"1,800",83,3,48,32,1,5,241,229,Piece Dye Cotton,130,95,28,117,338,-7,-25,243,3,N
210148401,EP0936,Rodd & Gunn N Gents,AW21N,Automatic,M,7,"1,164",83,5,41,31,0,5,387,361,Heavy Garment Wash,40,584,480,584,"1,374",28,388,791,10,Y
210190401,EP0917,Rodd & Gunn N Gents,AW21N,Automatic,M,5,850,83,5,59,29,0,5,535,505,Heavy Garment Wash,40,558,448,558,"1,471",29,427,913,10,Y
210135304,QPLAMB,Devred SAS Gents,AW21N,Automatic,S,7,"11,649",83,2,47,34,0,5,280,260,Heavy Garment Wash,40,286,228,286,484,7,35,198,2,Y
210169702,QSHEEP-CREW,Devred SAS Gents,AW21N,Automatic,S,7,"12,650",83,2,47,28,0,5,280,260,Heavy Garment Wash,40,286,228,286,484,9,46,198,2,Y
